"filename", "language", "JavaScript", "TypeScript", "CSS", "HTML", "comment", "blank", "total"
"f:\do_an\shop-admin\src\app\common\pop-up\add-product-popup\add-product-popup.component.css", "CSS", 0, 0, -46, 0, 0, -7, -53
"f:\do_an\shop-admin\src\app\common\pop-up\add-product-popup\add-product-popup.component.html", "HTML", 0, 0, 0, -15, 0, -1, -16
"f:\do_an\shop-admin\src\app\common\pop-up\add-product-popup\add-product-popup.component.spec.ts", "TypeScript", 0, -18, 0, 0, 0, -6, -24
"f:\do_an\shop-admin\src\app\common\pop-up\add-product-popup\add-product-popup.component.ts", "TypeScript", 0, -27, 0, 0, 0, -5, -32
"f:\do_an\shop-admin\src\app\common\pop-up\error-popup\error-popup.component.css", "CSS", 0, 0, -90, 0, 0, -14, -104
"f:\do_an\shop-admin\src\app\common\pop-up\error-popup\error-popup.component.html", "HTML", 0, 0, 0, -19, -4, -2, -25
"f:\do_an\shop-admin\src\app\common\pop-up\error-popup\error-popup.component.spec.ts", "TypeScript", 0, -18, 0, 0, 0, -6, -24
"f:\do_an\shop-admin\src\app\common\pop-up\error-popup\error-popup.component.ts", "TypeScript", 0, -20, 0, 0, 0, -4, -24
"f:\do_an\shop-admin\src\app\common\pop-up\loading-popup\loading-popup.component.css", "CSS", 0, 0, -96, 0, 0, -4, -100
"f:\do_an\shop-admin\src\app\common\pop-up\loading-popup\loading-popup.component.html", "HTML", 0, 0, 0, -4, 0, 0, -4
"f:\do_an\shop-admin\src\app\common\pop-up\loading-popup\loading-popup.component.spec.ts", "TypeScript", 0, -18, 0, 0, 0, -6, -24
"f:\do_an\shop-admin\src\app\common\pop-up\loading-popup\loading-popup.component.ts", "TypeScript", 0, -8, 0, 0, 0, -3, -11
"f:\do_an\shop-admin\src\app\common\pop-up\reason-cancel\reason-cancel.component.css", "CSS", 0, 0, -51, 0, 0, -8, -59
"f:\do_an\shop-admin\src\app\common\pop-up\reason-cancel\reason-cancel.component.html", "HTML", 0, 0, 0, -37, 0, -3, -40
"f:\do_an\shop-admin\src\app\common\pop-up\reason-cancel\reason-cancel.component.spec.ts", "TypeScript", 0, -18, 0, 0, 0, -6, -24
"f:\do_an\shop-admin\src\app\common\pop-up\reason-cancel\reason-cancel.component.ts", "TypeScript", 0, -55, 0, 0, 0, -11, -66
"f:\do_an\shop-admin\src\app\common\pop-up\success-popup\success-popup.component.css", "CSS", 0, 0, -103, 0, -1, -16, -120
"f:\do_an\shop-admin\src\app\common\pop-up\success-popup\success-popup.component.html", "HTML", 0, 0, 0, -19, 0, -1, -20
"f:\do_an\shop-admin\src\app\common\pop-up\success-popup\success-popup.component.spec.ts", "TypeScript", 0, -18, 0, 0, 0, -6, -24
"f:\do_an\shop-admin\src\app\common\pop-up\success-popup\success-popup.component.ts", "TypeScript", 0, -28, 0, 0, 0, -5, -33
"f:\do_an\shop-back-end\models\CategoryInfo.js", "JavaScript", 14, 0, 0, 0, 2, 3, 19
"f:\do_an\shop-back-end\models\ImportProduct.js", "JavaScript", 11, 0, 0, 0, 0, 3, 14
"f:\do_an\shop-back-end\models\Order.js", "JavaScript", 33, 0, 0, 0, 0, 4, 37
"f:\do_an\shop-back-end\models\Product.js", "JavaScript", 37, 0, 0, 0, 0, 3, 40
"f:\do_an\shop-back-end\models\ReviewSchema.js", "JavaScript", 15, 0, 0, 0, 0, 2, 17
"f:\do_an\shop-back-end\models\SoldItem.js", "JavaScript", 16, 0, 0, 0, 0, 2, 18
"f:\do_an\shop-back-end\models\User.js", "JavaScript", 35, 0, 0, 0, 0, 3, 38
"Total", "-", 161, -228, -386, -94, -3, -94, -644
